bestandsnaam;titel;dossier;datum;entiteiten;relaties;wijk_of_kern
Bijlage 1  Archeologisch onderzoek.pdf;Bureauonderzoek en inventariserend veldonderzoek Jan Steenstraat Steenwijk;Archeologisch onderzoek;2021-08-01;Lycens B.V., Stichting Woonconcept, Gemeente Steenwijkerland, Jan Steenstraat, Maaike van Benthem, M. Soldaat, A.G.J. Hullegie, A.M. Bakker, H. Kroes-Nawijn;;
Bijlage 1 - Concept Modelwijzigingsbesl BenW opheffing RSJ en 7e wijzi GR GGD.pdf;Modelbesluit opheffing RSJ IJsselland en 7e wijziging GR GGD IJsselland;Gemeenschappelijke regelingen;2025-07-10;GGD IJsselland, RSJ IJsselland, Regionaal Serviceteam Jeugd, Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Provincie Overijssel;Gezamenlijke voorstel van het dagelijks bestuur van GGD IJsselland en het bestuur van RSJ IJsselland d.d. 10 juli 2025, Notitie 'Samen robuust' - Uitwerking richtinggevend bestuursbesluit tot verkenning fusie RSJ en GGD IJsselland (versie 9 april 2025), Concept-liquidatieplan d.d. 9 april 2025 voor het Regionaal Serviceteam Jeugd IJsselland;
Bijlage 1 - Jaarstukken 2024 GGD IJsselland.begeleidende brief gemeenteraden.pdf;Begeleidende brief Jaarstukken 2024 GGD IJsselland;Gemeenschappelijke Regeling (GR) GGD IJsselland;2025-04-23;GGD IJsselland, Dagelijks bestuur GGD IJsselland, Algemeen bestuur GGD IJsselland, Gedeputeerde Staten van de provincie Overijssel, Ministerie van VWS, Commissie BBV, Astrid Schulting (directeur Publieke Gezondheid), Jeroen Homburg;Jaarstukken 2024 (Jaarverslag en Jaarrekening), Programmabegroting 2026, Managementletter over 2024, Wet gemeenschappelijke regelingen (Wgr), Besluit Begroting en Verantwoording provincies en gemeenten (BBV);
Bijlage 1 - Landschappelijk inpassingsplan.pdf;Beplantingsplan familie ten Klooster aan de Oldemarktseweg 103;Landschappelijke inpassing;;Familie ten Klooster, Oldemarktseweg 103;;Steenwijkerwold en Witte paarden
Bijlage 1 - Notitie Samen robuust - voorstel overgang RSJ-GGD.pdf;Samen robuust - Uitwerking verkenning fusie RSJ en GGD IJsselland;Fusie RSJ en GGD IJsselland;2025-04-09;Regionaal Serviceteam Jeugd IJsselland (RSJ), GGD IJsselland, 11 IJssellandse gemeenten, Lysias Advies, Bastiaan Wallage (Van Benthem Keulen), Sander van Walsem (gemeente Kampen), Gemeente Kampen;Notitie: Naar robuuste regionale samenwerking! (26 november 2024), Hervormingsagenda jeugd, Toekomstscenario jeugd- en gezinsbescherming, Regiovisie;
Bijlage 1 - Op weg naar een nieuw museum in twee scenarios_def.pdf;Op weg naar een nieuw museum voor Steenwijkerland - Uitwerking twee scenario's;Cultuur en Erfgoed;2023-02-01;Stadsmuseum Steenwijk, Kermis- en Circusmuseum, Hildo Krop Museum, Historische Vereniging Steenwijk e.o., Galerie Steenwijk, Bureau De Wierde, Studio Louter, OPERA Amsterdam, Dijkoraad, RAAP, Find Asbestinventarisatie, Huls Architecten, Blueyard, Villa Rams Woerthe, Spijkervetstallen, Kasteel Toutenburg, Kuinderburcht;Haalbaarheidsonderzoek (2020), Masterplan 'Op weg naar een nieuw museum voor Steenwijkerland' (2021), Politieke Markt (14 december 2021), FARO-verdrag;Vollenhove, Blokzijl, Giethoorn
Bijlage 1 - Reactienota voorkeursrecht.pdf;Reactienota op zienswijzen bij concept raadsbesluit bevestiging voorkeursrecht;Windenergie en voorkeursrecht;;College van burgemeester en wethouders, Kadaster, Provincie, Natura 2000;Concept raadsbesluit bevestiging voorkeursrecht, Algemene wet bestuursrecht art. 4:8, Windladder (bijlage 1), Omgevingsbesluit artikel 9, Omgevingswet artikel 9;Oldemarkt, Ossenzijl, Ijsselham
Bijlage 1 - Studie unilocatie VO Stw.25.9.23_00.pdf;Studie Unilocatie Voortgezet Onderwijs Steenwijkerland;Onderwijshuisvesting;2023-09-25;Schoolbestuur Simant, RSG Tromp Meesters, Gemeente Steenwijkerland, Lijsterbesstraat 1;Raadsbesluit april 2021, Coalitieakkoord 2022-2026, SamenwerkingsOvereenKomst (SOK), Programma van Eisen (PvE);
Bijlage 1 - Verordening gecertificeerde instellingen.pdf;Subsidieverordening Gecertificeerde Instellingen Regio IJsselland;Jeugdbescherming en jeugdreclassering;2022-12-20;college van burgemeester en wethouders, RSJ IJsselland, Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Ommen, Gemeente Olst-Wijhe, Gemeente Raalte, Gemeente Staphorst, Gemeente Zwartewaterland, Gemeente Zwolle, Nederlandse Zorg Autoriteit (NZA);voorstel van het college van 20 december 2022 kenmerk 2022-B&W_00953, Gemeentewet, Algemene wet bestuursrecht, Subsidieverordening Gecertificeerde Instellingen Regio IJsselland 2020-2022, Jeugdwet, Certificatieschema voor toetsing van het kwaliteitsmanagementsysteem van uitvoerende organisaties voor Jeugdbescherming en Jeugdreclassering, Toekomstscenario kind- en gezinsbescherming;
Bijlage 1 - voorkeursrecht besluit college van 9 januari 2024.pdf;Vestiging voorlopig voorkeursrecht op twaalf percelen te Oldemarkt;Voorkeursrecht (Windenergie);2024-01-09;Gemeente Steenwijkerland, Kadaster, De Lende, Ossenzijlerweg;Omgevingswet (artikel 9.1 lid 1 en 2), Algemene wet bestuursrecht (artikel 4:8);Oldemarkt
Bijlage 1 Aan de slag met het omgevingsplan.pdf;Aan de slag met het omgevingsplan;Omgevingsplan;2023-01-17;Vereniging van Nederlandse Gemeenten;;
Bijlage 1 aangepast_Landschapsplan en beplantingsplan achtergrondDwarsgracht 13 en 13a.pdf;Landschappelijk inpassingsplan en erfplan Dwarsgracht 13 en 13A;Woningbouw;2022-01-01;De Wieden;;Jonen en Dwarsgracht
BIJLAGE 1 Afdeling 8.4 Kostenverhaal Bouwactiviteiten.pdf;Omgevingsbesluit Afdeling 8.4 Kostenverhaal Bouwactiviteiten;Kostenverhaal;2024-01-01;Bevoegd gezag;Omgevingsbesluit, Wet waardering onroerende zaken, Bijlage IV;
Bijlage 1 bij  collegevoorstel vervolg scenarios vaststelling subsidies maatschappelijke organisaties.pdf;Uitwerking scenario's vaststelling subsidies maatschappelijke organisaties en accountantsverklaringen;Subsidies;;Theater De Meenthe, Stichting Sportservice Steenwijkerland, Zwembad Tolhekke, Scala, Bibliotheek, Gemeente Emmeloord, VNG;ASV 2018 (Algemene Subsidieverordening), Collegebesluit (eerdere afspraken De Meenthe), Collegebesluit (inzake samenstellingsverklaring Tolhekke), Artikel 4:23 AWB, Artikel 213a Gemeentewet;
Bijlage 1 bij aanbiedingsbrief Raden en Staten DB adviesnota ontwerpbegrotingswijziging 2021 en 2022.pdf;Ontwerpbegrotingswijziging 2021 en 2022;Begroting;2021-11-11;Dagelijks Bestuur, Algemeen Bestuur, Raden en Staten, Provinciale Staten, J.H. Bos, J.M. Vroomen, P.J. van Zanten, J. Badenhop, B. Meijer, M.W. Offinga, Omgevingsdienst (OD), Provincie;Begroting 2022 (vastgesteld 8 juli 2021), Duurzame begroting 2023, Projectplan Energie en Duurzaamheid 2022 - 2023 (ingestemd 7 oktober 2021), CAO SGO 2021-2022, Programma Samen Toekomstbestendig;
Bijlage 1 bij de regels - Aan huis gebonden beroepen enof ambachtelijke bedrijvigheid.pdf;Overzicht aan huis gebonden beroepen en ambachtelijke bedrijvigheid;Aan huis gebonden bedrijven;;Kamers van Koophandel;;
Bijlage 1 bij de toelichting - Akoestisch onderzoek.pdf;Akoestisch onderzoek wegverkeerslawaai Bergstein, Tuk;Woningbouw;2021-03-30;De Milieu adviseur, Witpaard, Ruben Beens, Bergstein, Wethouder Zeefatstraat, Wethouder Slootstraat, Spoorlijn Leeuwarden - Zwolle, Steenwijkerweg (N334), A32;;Tuk
Bijlage 1 Fietsplan Steenwijkerland - DEF01804023.pdf;Fietsplan Steenwijkerland 2024 - 2027;Mobiliteit;2023-04-17;HaskoningDHV Nederland B.V., Overijssel;Strategische Mobiliteitsvisie, Mobiliteitsagenda;Steenwijk Centrum / Binnenstad
Bijlage 1 Fietsplan Steenwijkerland.pdf;Fietsplan Steenwijkerland CONCEPT;Mobiliteit;2023-11-01;Provincie Overijssel;Strategische Mobiliteitsvisie, Mobiliteitsagenda, Fietsmonitor 2022;Steenwijk Centrum / Binnenstad
Bijlage 1 haalbaarheidsstudie herhuisvesting Bibliotheek  - 20240729.pdf;Haalbaarheidsonderzoek Bibliotheek aan de markt;Herhuisvesting Bibliotheek;2024-07-29;Gemeente Steenwijkerland, Bibliotheek, Historische Vereniging, De Galerie, Markt, Onnastraat;Visiedocument 'de tuinen van Steenwijk';Steenwijk Centrum / Binnenstad
Bijlage 1 Hemelwaterscheidingsgebied (Steenwijk).pdf;Kaart Hemelwaterscheidingsgebied (Steenwijk);Hemelwater- en grondwaterverordening;2019-05-14;R. Ligtenberg, Esri Nederland;;
Bijlage 1 Hemelwaterscheidingsgebied - overige kernen.pdf;Kaarten Hemelwater- en grondwaterverordening - overige kernen;Hemelwater- en grondwaterverordening;2019-05-14;Gemeente Steenwijkerland, R. Ligtenberg, Esri Nederland;;Oldemarkt, Kuinre, Ossenzijl, Steenwijkerwold en Witte paarden
Bijlage 1 Locatiestudie onderwijshuisvesting Vollenhove.pdf;Locatiestudie onderwijshuisvesting Vollenhove;Onderwijshuisvesting;2025-01-01;St Martinusschool, Stichting Aves, De Voorpoort, Stichting op Kop, Kindcentrum Het Kompas, Stichting Accrete, Sportvereniging V.E.N.O., De Burght, Belangenvereniging Vollenhove Stad (BVVS), KNVB, RCE;Integraal Huisvestingsplan Onderwijs (IHP) 2023, Motie gemeenteraad gezamenlijke huisvesting omgeving De Burght, Stadsvisie;Vollenhove
Bijlage 1 Onderzoeksrapport toetreding GR CO .pdf;Onderzoeksrapport toetreding GR Collectie Overijssel;Toetreding GR Collectie Overijssel / Historisch Archief;2025-03-31;GR Collectie Overijssel (CO), Historisch Centrum Overijssel (HCO), Henriëtte de Jong (directeur), Roel Lensen (gemeentearchivaris), Brigit Hoomans (Brigit Hoomans Informatie Advies), Marco de Graaf (gemeentesecretaris), Nationaal Archief, Deventer;Afstudeeronderzoek gemeentearchivaris (2016), Adviesrapport Brigit Hoomans (2018), Raadsbesluit voorbereiding toetreding (2018), Raadsinformatie staken toetreding (2021), Begroting 2025 -2028, Projectplan uitvoering onderzoek (januari 2025);
Bijlage 1 overzicht traces.pdf;Overzicht tracés (uitsnede Visiekaart);Infrastructuur;;;;
bijlage 1 Participatieverslag_Inloopbijeenkomst 7 april - Stadsvisie Steenwijk.pdf;Participatieverslag Inloopbijeenkomst stakeholders Stadsvisie Steenwijk;Stadsvisie;2025-04-07;Grote Kerk, A32, Zwolle, ondernemers, maatschappelijke organisaties, welzijnsinstellingen, coöperaties, wijkverenigingen;Stadsvisie Steenwijk;Steenwijk West, Steenwijk Centrum / Binnenstad
bijlage 1 plattegrond Blankenham.pdf;Plattegrond Blankenham;Plattegrond;;;;Blankenham
Bijlage 1 Rekenresultaten aanlegfase.pdf;AERIUS Projectberekening Aanlegfase Leeuwte 47;Stikstof;2023-05-02;BJZ.nu, AERIUS Calculator, Natura 2000, Leeuwte 47;Wet natuurbescherming;Moespot en Leeuwte, Sint Jansklooster
Bijlage 1 Toetsingskader Bultweg 33tm53.pdf;Toetsingskader ruimtelijke kwaliteit Bultweg 33 t/m 53;Ruimtelijke kwaliteit en welstand;;Bultweg 33 t/m 53, College van burgemeester en wethouders, Onafhankelijke adviescommissie, Gemeente Steenwijkerland;Wet algemene bepalingen omgevingsrecht (Wabo) artikel 2.10 lid 1d;De Pol, Baars en de Bult
Bijlage 1 van de toelichting.pdf;Nota van wijzigingen Bestemmingsplan Technische herziening Giethoorn;Bestemmingsplan;2024-04-23;Beulakerweg 23, Beulakerweg 165, Beulakerweg 55, Binnenpad 46, Binnenpad 54, Molenweg 35a, Sportlaan 20, Aerius;Bestemmingsplan Giethoorn (2017), Ontwerpbestemmingsplan Technische Herziening Giethoorn, Memo Stikstofemissie en depositie, Ecologisch Onderzoek;Giethoorn
Bijlage 1 Voorstel voor de kaders voor het Noodfonds Energie.pdf;Voorstel voor de kaders voor het Noodfonds Energie;Noodfonds Energie;;Kamer van Koophandel, Rijk, Provincie;Vitaliteitsfonds, Algemene subsidieverordening;
Bijlage 1- Agenda publieke gezondheid gezond samen leven.pdf;Bestuursagenda Publieke gezondheid 2023 - 2027;Publieke gezondheid;;GGD IJsselland, gemeenten in IJsselland, provincie, veiligheidsregio, zorg- en welzijnsorganisaties, omgevingsdiensten, waterschappen;Beweging vanuit eigen regie (2019-2023), Gezond en actief leven akkoord (GALA), Integraal Zorg Akkoord (IZA), programma Wonen, Ondersteuning en Zorg voor Ouderen (WOZO), Landelijke Gezondheidsnota (2018), Nationaal Preventieakkoord, aanpak mentale gezondheid;
Bijlage 1- Brief aan gemeenteraden toelichting op Programmabegroting 2023 GGD IJsselland (1).pdf;Toelichting op Ontwerp programmabegroting 2023 en meerjarenraming 2024-2026 GGD IJsselland;Zienswijze GR;2022-04-05;GGD IJsselland, Gemeenten regio IJsselland, Veiligheidsregio IJsselland, Rijk, RIVM, 113 Zelfmoordpreventie, drs. A.M. (Rianne) van den Berg (directeur Publieke Gezondheid);Programmabegroting 2023, Jaarstukken 2021, Ontwikkelingenbrief 2023, Financiële uitgangspunten Programmabegroting 2023, Programmabegroting 2022, Regionale programma 'Zelfmoord? Praat erover!';
Bijlage 1. Centrumregeling beschermd wonen en maatschappelijke opvang regio IJssel-Vecht.pdf;Centrumregeling beschermd wonen en maatschappelijke opvang regio IJssel-Vecht;Beschermd wonen en maatschappelijke opvang;;Gemeente Dalfsen, Gemeente Hardenberg, Gemeente Kampen, Gemeente Ommen, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle (Centrumgemeente), Vereniging van Nederlandse Gemeenten (VNG), Rijksoverheid;Wet maatschappelijke ondersteuning 2015 (Wmo 2015), Wet gemeenschappelijke regelingen, Algemene wet bestuursrecht, Regiovisie beschermd wonen en maatschappelijke opvang 2022-2032, Norm van Opdrachtgeverschap (NvO);
Bijlage 1. Ecologische quickscan.pdf;QuickScan Flora en Fauna Brink Scheerwolde;Woningbouw;2019-04-08;Ruimte voor Advies, Provincie Overijssel, Brink;;Scheerwolde
Bijlage 1. Staat van bedrijfsactiviteiten.pdf;Staat van bedrijfsactiviteiten (Beheersverordening Buitengebied Steenwijkerland);Beheersverordening Buitengebied;2013-06-18;;Beheersverordening Buitengebied Steenwijkerland, Wet milieubeheer, Inrichtingen- en Vergunningenbesluit (IVB), Besluit externe veiligheid inrichtingen, Vuurwerkbesluit;
bijlage 10 Ruimtescan_Tuk Noord en Midden.pdf;Ruimtescan Woningbouw Tuk Noord en Midden;Woningbouw;2025-06-19;Ruimtewerk, bureau BVR, provincie Overijssel, Lars Haverkort, Michiel van der Meer, Ellis Brinkman, N334, Oldemarktsweg, spoorlijn Steenwijk en Wolvega;Afwegingskader wonen en werken Steenwijk 2040, 2024_RAAD_00068 De toekomst van wonen en werken in Steenwijk, Woonagenda Steenwijkerland 2022- 2026, Actualisatie Woondeal West-Overijssel 2025 t/m eind 2030, Regionale woonzorgvisie 2024-2026 West-Overijssel, Ambitiedocument, spoorzone Steenwijk 2040, stadsvisie van Steenwijk, woningbehoefte onderzoek 2021-2032, Verstedelijkingstrategie regio Zwolle, Omgevingsverordening provincie Overijssel, Overijsselse woonaanpak, Omgevingsvisie Overijssel, Waterschapsverordening, Position paper Water en Bodem sturend, Wet versterking regie volkshuisvesting, Nationale prestatieafspraken 2025-2035;Tuk
Bijlage 10a Memo_Uitkomsten_Veldonderzoek_Bodelaeke.pdf;Memo Aanwezigheid oerlaag Bodelaeke;Bodem en Water;2025-02-20;Arcadis Nederland B.V., Jan-Pieter Willemsen, Kees de Vries, Waterresort Bodelaeke, Praja Planbegeleiding, Gemeente Steenwijkerland, Grondradar B.V., Jonenweg, Cornelisgracht, Polder Giethoorn;Arcadis (2010), Arcadis (2024), Grondradar B.V. (2025);Giethoorn
Bijlage 10b Verkenning kwellengte en kwel door ontgraving Bodelaeke.pdf;Geohydrologische effecten waterpartij Bodelaeke;Geohydrologie en Waterbeheer;2024-11-20;Arcadis Nederland B.V., Jan-Pieter Willemsen, Praja planbegeleiding, Waterresort Bodelaeke, Waterschap Drents Overijsselse Delta, TNO, Deltares, Beulakerpolder, Cornelisgracht, De Wieden;Hydrologisch onderzoek De Wieden Fase 2 (Arcadis, 2022), Ondiepe storende laag Plan 'Bodelaeke' (Arcadis, 2010), Onderzoeksrapport Zandmeevoerende Wellen (Deltares, 2012);Giethoorn
bijlage 11 Ruimtescan_Bedrijventerrein Tuk.pdf;Ruimtescan Bedrijventerrein Tuk;Bedrijventerreinen en Ruimtelijke Ontwikkeling;2025-06-19;Ruimtewerk, Lars Haverkort, Michiel van der Meer, Kelley Zenderink, Ellis Brinkman, Provincie Overijssel, Regio Zwolle, Regio West-Overijssel, STEC Groep, Gemeente Meppel, Bureau BVR, CDA;Afwegingskader wonen en werken Steenwijk 2040, Verstedelijkingstrategie Regio Zwolle, Economische Agenda Steenwijkerland 2024-2026, Transitievisie Warmte, Omgevingsverordening provincie Overijssel, Omgevingsvisie provincie Overijssel, Programmeringsafspraken Bedrijventerreinen Regio West-Overijssel 2023 t/m 2026, Regiodeal Regio Zwolle 2024 – 2027, Waterschapsverordening, Position paper Water en Bodem sturend, Verkenning Ruimtebehoefte bedrijventerreinen, 2022 (STEC Groep), Schriftelijke vragen CDA - Economische prestaties Steenwijkerland (2) - beantwoording 20230516.pdf, Economische koers Steenwijkerland 2024;Tuk, Dolderkanaal
bijlage 12 Ruimtescan Woldmeenthe Noord.pdf;Ruimtescan Woldmeenthe Noord;Ruimtelijke ontwikkeling en woningbouw;2025-10-21;Ruimtewerk, Kelley Zenderink, Lars Haverkort, Steenwijker Aa, A32, NS-station, Natura 2000, NNN (Natuurnetwerk Nederland), Waterschap, Provincie, Rijk, Veiligheidsregio;Afwegingskader Wonen en Werken Steenwijk 2040, Catalogus gebiedskenmerken, Ondernemen met natuur & water, NOVEX;Woldmeenthe, Oostermeenthe, Tuk, Baars en de Bult, Steenwijkerwold en Witte paarden
bijlage 13 Ruimtescan Oostermeenthe-Zuid.pdf;Ruimtescan Oostermeenthe-Zuid;Woningbouw;2025-10-23;Gemeente Steenwijkerland, Kelley Zenderink, Lars Haverkort, Ruimtewerk, Waterschap, Provincie, Rijk, Natura 2000, A32, Intercity-station Steenwijk;Afwegingskader Wonen en Werken Steenwijk 2040, NOVEX;Oostermeenthe, Woldmeenthe, Steenwijk Centrum / Binnenstad
bijlage 14 Aanzet ontwikkelstrategie stadsvisie Steenwijk 4-11-2025.pdf;Ontwikkelstrategie Stadsvisie Steenwijk (1e aanzet);Stadsvisie en Ruimtelijke Ontwikkeling;2025-10-28;Spoorzone, De Kamp, Unilocatie, Zuidveen, Steenwijk Noord, Steenwijk Zuid, A32 corridor, Aa (stroomgebied), Provincie, Het Rijk, Regiogemeenten (Hardenberg, Meppel, Hoogeveen, Raalte, Kampen), Novex programma stationsomgevingen, Voetbalverenigingen Parallelweg, Bewonersvereniging, Steenwijk Vestingstad;Stadsvisie Steenwijk, Ambitiedocument spoorzone, Ruimtescans focusgebieden, Ruimtelijk Economische Bouwsteen 2040, Parapluplan (vastgesteld 5 november 2024), Maatregelenboek Stationsomgeving Steenwijk;Steenwijk Centrum / Binnenstad, Oostermeenthe, Tuk, Woldmeenthe
Bijlage 1_20241119 Plan van aanpak Stichting Woonwens Ossenzijl.pdf;Plan van aanpak Betaalbare tijdelijke huurwoningen Ossenzijl;Woningbouw;2024-11-19;Stichting Woonwens Ossenzijl, Werkgroep wonen Ossenzijl, Plaatselijk Belang Ossenzijl (PBO), Grouwels Vastgoed, Wetland Wonen, G.B. Kooijstraat, Provincie (Programma Leefbaar Platteland), Gemeentelijk woningbedrijf IJsselham;;Ossenzijl
Bijlage 1_BW besluit Tolhekke 2014.pdf;Accountantsverklaring Stichting zwembad 't Tolhekke;Subsidieverantwoording;2014-03-25;Stichting zwembad 't Tolhekke, Stichting Peuterspeelzalen Steenwijkerland, Accountantskantoor Reinders en Snijder, Henk Schuitemaker, Jan Knol, S.S. Weistra, Wethouder Van der Terp;Algemene Subsidieverordening Steenwijkerland (artikel 19 lid 3), Besluit inzake Stichting Peuterspeelzalen Steenwijkerland (januari 2013);
Bijlage 2  Verkennend bodemonderzoek.pdf;Verkennend bodemonderzoek Jan Steenstraat te Steenwijk;Woningbouw;2021-06-24;Woonconcept, Eco Reest BV, Jan Steenstraat, Eurofins Analytico B.V.;;
Bijlage 2 - Akoestisch onderzoek wegverkeerslawaai.pdf;Akoestisch onderzoek wegverkeerslawaai Oldemarktseweg 103, Steenwijkerwold;Woningbouw;2022-04-01;Oldemarktseweg 103, BJZ.nu;;Steenwijkerwold en Witte paarden
Bijlage 2 - Financiele toelichting congres Meenthe.pdf;Financiële toelichting Project congresvoorziening De Meenthe;Herontwikkeling / Congresvoorziening De Meenthe;Onbekend;Stichting de Meenthe, Gemeente Steenwijkerland, Onemeeting, VDW adviseurs, VSCD;Financiële verordening 2018 Steenwijkerland, Taxatierapport (VDW adviseurs), Businesscase (bijlage), Theater analyse systeem & jaarverslagen theaters (2019-2020);
Bijlage 2 - Grondtekening (uitgezoomd).pdf;Grondtekening mogelijke opstelling windturbines Oldemarkt;Windturbines;2023-12-14;S.G. Zwerver, Overlendepad, Kerspelweg, Markerbroekweg, Hagenbroekweg, Ossenzijlerweg, Weerdijk, IJsselhammerweg, Pad Driewegsluis, De Merriemaden, Gapenburg, Breeweersepad, Lindedijk, De Lende, Jonkers- of Helomavaort;;Oldemarkt
Bijlage 2 - tekst voorkeursrechtbeschikking.pdf;Bevestiging voorkeursrecht twaalf percelen ten behoeve van windenergieproject te Oldemarkt;Windenergie;2024-03-26;Gemeente Steenwijkerland, De Lende, Ossenzijlerweg;Grondtekening (bijlage 2), Perceellijst (bijlage 3);Oldemarkt
Bijlage 2 - Toelichting Modelbesl opheffing RSJ en 7e wijz GR GGD.pdf;Toelichting Modelbesluit opheffing GR RSJ en 7e wijziging GR GGD IJsselland;Gemeenschappelijke Regelingen;2025-04-09;GGD IJsselland, Regionaal Serviceteam Jeugd IJsselland (RSJ), Dalfsen, Deventer, Hardenberg, Kampen, Olst-Wijhe, Ommen, Raalte, Staphorst, Steenwijkerland, Zwartewaterland, Zwolle, Gedeputeerde staten van de provincie Overijssel;Notitie ‘Samen robuust’ (versie 9 april 2025), Concept liquidatieplan RSJ, Wet verbetering beschikbaarheid Jeugdzorg, Wet gemeenschappelijke regelingen, Jeugdwet, Wet publieke gezondheid, Aanbestedingswet 2012;
Bijlage 2 - Wijzigingsoverzicht subsidieverordening GI.pdf;Wijzigingsoverzicht subsidieverordening GI's;Jeugdzorg;;College, Gecertificeerde Instellingen (GI's), RSJ IJsselland, Nederlandse Zorg Autoriteit (NZA), Regio Twente;Jeugdwet, Toekomstscenario kind- en gezinsbescherming;
Bijlage 2 - Windladder.pdf;Toelichting bij de Overijsselse windladder;Windenergie;2022-11-01;Provincie Overijssel, Natura 2000, NNN-gebieden;Provinciale Omgevingsvisie 2022, Omgevingsverordening 2022, RESsen 1.0, Catalogus Gebiedskenmerken;
Bijlage 2 bij aanbiedingsbrief Raden en Staten overzicht financiele gevolgen en verdeling deelnemers.pdf;Financiële gevolgen ontwerpbegrotingswijziging 2021 en 2022;Financiën en Begroting;;Algemeen Bestuur, Dagelijks Bestuur (DB), Gemeente Dalfsen, Gemeente Deventer, Gemeente Hardenberg, Gemeente Kampen, Gemeente Olst-Wijhe, Gemeente Ommen, Gemeente Raalte, Gemeente Staphorst, Gemeente Steenwijkerland, Gemeente Zwartewaterland, Gemeente Zwolle, Provincie Overijssel, Omgevingsdienst (OD);Ontwerpbegrotingswijziging 2021 en 2022, Programma Samen Toekomstbestendig, CAO SGO 2021-2022;
Bijlage 2 bij de regels - Nota parkeernormen.pdf;Nota Parkeernormen 2015 gemeente Steenwijkerland;Parkeren;2017-11-21;CROW, Centraal Bureau voor de Statistiek (CBS);Reparatiewet BZK 2014, ASVV 2012, CROW-publicatie 317;Steenwijk Centrum / Binnenstad, Oldemarkt, Onna, Vollenhove
Bijlage 2 bij de regels - Overzicht huis verbonden beroepen (1).pdf;Overzicht aan huis gebonden beroepen en bedrijven;Ruimtelijke ordening;;Kamers van Koophandel;;
Bijlage 2 bij de regels - Overzicht huis verbonden beroepen.pdf;Overzicht aan huis gebonden beroepen en bedrijvigheid;Bestemmingsplan / Aan huis gebonden beroepen;;Kamers van Koophandel;;
Bijlage 2 bij de toelichting - Bodemonderzoek.pdf;Verkennend bodemonderzoek Bouwplan Bergstein te Tuk;Woningbouw;2021-03-15;Bouwplan Bergstein, Woonconcept, Eco Reest BV, Eurofins Analytico B.V., KIWA;;Tuk
Bijlage 2 Financiele.bijlage.pdf;Financiële bijlage scholenbouw en locatieontwikkeling Vollenhove;Onderwijshuisvesting;Onbekend;St Martinusschool, De Voorpoort, Kompas, KDV, Schoolbesturen, V.E.N.O., VVVV, De Burght;Integraal Huisvestingsplan (IHP), PPN 2025-2029;Vollenhove
Bijlage 2 Kaart ligplaatsverbod.pdf;Kaart ligplaatsverbod vaar- en verhuurbedrijven Giethoorn Zuid;Ligplaatsverbod;2020-08-27;S.G. Zwerver, Bovenwijde, Cornelisgracht, Binnenpad, Beulakerweg, Vosjacht;Tekening 13-00-BH0007_1;Giethoorn
BIJLAGE 2 Kostenverhaal Kostensoortenlijst.pdf;Kostensoortenlijst Omgevingsbesluit;Kostenverhaal;2024-01-01;gemeente, provincie, Staat;Omgevingsbesluit, Omgevingswet;
Bijlage 2 Landschappelijke afweging randweg Blokzijl.pdf;Toelichting tracékeuze randweg Blokzijl;Infrastructuur;2025-11-12;Zuiderzee, Noordoostpolder, Vollenhoofsedijk, Kuinderdijk, Noorderdiep, Havenkolk, Kanaalweg, Provinciale weg N333, Vollenhoverkanaal, Polder Blokzijler Uiterdijken, Zuiderzeeweg;Stadsvisie Blokzijl, Bomeneffectanalyse, Eerdere studies/rapportages (financiële verkenning);Blokzijl
Bijlage 2 Meerjarenlanning Fiets 2024-2027.pdf;Investeringsplanning Fietsplan 2023;Fietsinfrastructuur;Onbekend;Provincie Overijssel, Rijk, BOR, SPV;Kernnet Fiets Overijssel, Verstedelijkingsstrategie, GOW 30km, Toekomstbeeld Gieterse Polder;Giethoorn, Oldemarkt, Oostermeenthe, Ossenzijl, Steenwijk Centrum / Binnenstad
Bijlage 2 Meerjarenplanning Fietsplan 2024-2027 incl. prio.pdf;Meerjarenplanning en prioritering Fietsplan 2024-2027;Fietsplan;2024-01-01;A32, Darp, DUV+V, Havelte, Heerenveen, Meppel, N334, Natura 2000, Rottige Meente, SPV, Weerribben, Zwolle;Kernnet Fiets, Knooppuntenroute, Verstedelijkingsstrategie;Giethoorn, Oldemarkt, Oostermeenthe, Ossenzijl, Paddenpoel en Kornputkwartier, Steenwijk Centrum / Binnenstad, Steenwijkerdiep, Vollenhove
bijlage 2 Participatieverslag_Inloopbijeenkomst 6 mei - Stadsvisie Steenwijk.pdf;Participatieverslag Inloopbijeenkomst Stadsvisie Steenwijk (6 mei 2025);Stadsvisie Steenwijk;2025-05-06;De Kamp;;Steenwijk Centrum / Binnenstad, Woldmeenthe
